iter	Passed	Remaining
0	55	55259
1	64	31983
2	72	24124
3	80	20122
4	90	17950
5	98	16292
6	106	15070
7	114	14190
8	122	13519
9	131	13040
10	139	12561
11	147	12144
12	155	11823
13	163	11544
14	171	11293
15	179	11059
16	187	10843
17	195	10665
18	203	10507
19	211	10383
20	219	10231
21	226	10087
22	234	9957
23	242	9846
24	249	9747
25	257	9664
26	265	9573
27	273	9486
28	281	9414
29	288	9331
30	296	9260
31	303	9180
32	310	9097
33	318	9039
34	326	8992
35	334	8950
36	341	8891
37	348	8824
38	356	8775
39	363	8720
40	370	8674
41	378	8622
42	385	8583
43	393	8542
44	400	8498
45	408	8475
46	416	8448
47	424	8423
48	432	8385
49	439	8344
50	446	8309
51	454	8284
52	461	8243
53	468	8210
54	477	8196
55	484	8162
56	492	8148
57	500	8129
58	507	8095
59	514	8061
60	521	8027
61	528	7996
62	536	7973
63	543	7955
64	551	7929
65	558	7902
66	565	7875
67	572	7851
68	580	7826
69	587	7802
70	594	7779
71	601	7753
72	609	7735
73	616	7710
74	623	7694
75	631	7674
76	638	7652
77	645	7635
78	652	7612
79	660	7593
80	668	7581
81	675	7558
82	682	7540
83	689	7523
84	696	7496
85	702	7471
86	710	7455
87	717	7434
88	725	7421
89	732	7401
90	738	7380
91	746	7367
92	753	7351
93	760	7331
94	767	7312
95	774	7296
96	781	7277
97	788	7258
98	795	7239
99	802	7220
100	808	7199
101	815	7179
102	821	7158
103	828	7138
104	835	7117
105	841	7097
106	847	7076
107	854	7054
108	860	7036
109	866	7014
110	873	6993
111	879	6971
112	885	6950
113	891	6930
114	898	6915
115	904	6895
116	911	6877
117	917	6859
118	924	6841
119	930	6823
120	936	6804
121	943	6786
122	948	6766
123	954	6745
124	961	6730
125	967	6713
126	974	6695
127	980	6677
128	986	6659
129	992	6642
130	998	6623
131	1005	6611
132	1012	6601
133	1018	6583
134	1024	6566
135	1030	6548
136	1036	6530
137	1043	6516
138	1049	6498
139	1055	6482
140	1061	6465
141	1067	6448
142	1073	6431
143	1079	6417
144	1085	6399
145	1091	6385
146	1097	6370
147	1103	6352
148	1109	6336
149	1115	6319
150	1121	6306
151	1128	6294
152	1134	6278
153	1139	6262
154	1145	6244
155	1151	6227
156	1157	6217
157	1163	6201
158	1169	6184
159	1174	6166
160	1180	6149
161	1185	6133
162	1191	6118
163	1196	6100
164	1202	6085
165	1208	6069
166	1213	6053
167	1219	6038
168	1224	6021
169	1230	6006
170	1235	5990
171	1240	5973
172	1246	5957
173	1251	5941
174	1257	5926
175	1262	5911
176	1268	5896
177	1273	5882
178	1279	5868
179	1284	5851
180	1289	5832
181	1298	5834
182	1302	5816
183	1310	5812
184	1316	5800
185	1324	5797
186	1331	5789
187	1339	5786
188	1348	5785
189	1357	5786
190	1364	5780
191	1371	5772
192	1381	5777
193	1391	5781
194	1401	5785
195	1417	5814
196	1427	5819
197	1436	5818
198	1447	5828
199	1460	5840
200	1467	5835
201	1472	5815
202	1476	5796
203	1480	5777
204	1484	5757
205	1488	5738
206	1493	5720
207	1497	5702
208	1501	5682
209	1505	5663
210	1509	5645
211	1513	5627
212	1518	5610
213	1522	5591
214	1526	5574
215	1530	5556
216	1535	5539
217	1539	5523
218	1543	5505
219	1547	5487
220	1551	5470
221	1555	5452
222	1560	5436
223	1564	5419
224	1568	5402
225	1572	5386
226	1576	5369
227	1581	5353
228	1585	5336
229	1589	5320
230	1593	5303
231	1597	5288
232	1601	5273
233	1606	5257
234	1610	5242
235	1614	5226
236	1618	5211
237	1622	5196
238	1627	5181
239	1631	5167
240	1636	5153
241	1640	5138
242	1644	5124
243	1649	5109
244	1653	5095
245	1657	5081
246	1661	5066
247	1666	5052
248	1670	5038
249	1674	5023
250	1679	5011
251	1683	4997
252	1688	4984
253	1692	4970
254	1696	4956
255	1700	4942
256	1704	4928
257	1708	4914
258	1713	4901
259	1717	4887
260	1721	4873
261	1725	4860
262	1730	4848
263	1734	4835
264	1739	4823
265	1743	4810
266	1747	4796
267	1751	4784
268	1755	4771
269	1759	4758
270	1764	4745
271	1768	4732
272	1772	4719
273	1776	4707
274	1780	4694
275	1784	4682
276	1789	4669
277	1793	4656
278	1797	4644
279	1801	4631
280	1805	4619
281	1809	4607
282	1814	4596
283	1818	4584
284	1822	4572
285	1826	4560
286	1830	4547
287	1834	4536
288	1839	4525
289	1843	4513
290	1847	4501
291	1851	4489
292	1855	4478
293	1859	4466
294	1864	4455
295	1868	4444
296	1872	4433
297	1877	4421
298	1881	4411
299	1885	4400
300	1889	4388
301	1894	4377
302	1898	4366
303	1902	4355
304	1906	4344
305	1910	4333
306	1914	4322
307	1919	4312
308	1923	4301
309	1927	4290
310	1931	4279
311	1936	4269
312	1940	4258
313	1944	4247
314	1948	4237
315	1953	4227
316	1957	4218
317	1962	4207
318	1966	4197
319	1970	4188
320	1974	4177
321	1979	4167
322	1983	4157
323	1987	4147
324	1992	4137
325	1996	4127
326	2000	4117
327	2005	4107
328	2009	4097
329	2013	4087
330	2017	4077
331	2021	4067
332	2025	4057
333	2029	4047
334	2033	4037
335	2037	4027
336	2042	4017
337	2046	4007
338	2050	3997
339	2054	3988
340	2059	3979
341	2063	3969
342	2067	3959
343	2071	3950
344	2075	3940
345	2079	3930
346	2083	3921
347	2087	3911
348	2092	3902
349	2096	3893
350	2100	3884
351	2104	3874
352	2108	3865
353	2112	3855
354	2117	3846
355	2121	3837
356	2126	3829
357	2130	3820
358	2134	3811
359	2138	3802
360	2142	3793
361	2147	3784
362	2151	3775
363	2155	3766
364	2160	3757
365	2164	3748
366	2168	3739
367	2172	3730
368	2176	3722
369	2180	3713
370	2184	3703
371	2188	3695
372	2193	3686
373	2197	3678
374	2202	3670
375	2206	3661
376	2210	3653
377	2214	3644
378	2219	3636
379	2223	3628
380	2227	3619
381	2232	3611
382	2236	3603
383	2241	3595
384	2245	3587
385	2249	3578
386	2254	3570
387	2258	3562
388	2262	3553
389	2266	3545
390	2270	3537
391	2275	3528
392	2279	3520
393	2283	3512
394	2288	3504
395	2292	3496
396	2296	3487
397	2300	3479
398	2304	3471
399	2308	3463
400	2313	3455
401	2317	3447
402	2321	3439
403	2326	3431
404	2330	3424
405	2335	3416
406	2339	3408
407	2343	3400
408	2347	3392
409	2351	3384
410	2356	3377
411	2360	3369
412	2365	3361
413	2369	3354
414	2373	3346
415	2379	3340
416	2383	3332
417	2388	3325
418	2396	3322
419	2400	3314
420	2404	3307
421	2409	3299
422	2413	3292
423	2417	3284
424	2422	3276
425	2426	3269
426	2430	3261
427	2434	3253
428	2439	3246
429	2443	3239
430	2447	3231
431	2452	3224
432	2456	3216
433	2461	3209
434	2465	3202
435	2469	3194
436	2473	3186
